"match_id","match_date","A_id","B_id","y","dRank","dDecay","wWR_A","wWR_B","dW"
1,2024-01-01,207830,206499,1,-32,1,0.5,0.5,0
1,2024-01-01,206499,207830,0,32,1,0.25,0.75,-0.5
2,2024-01-01,105902,106296,1,32,1,0.5,0.5,0
2,2024-01-01,106296,105902,0,-32,1,0.25,0.75,-0.5
3,2024-01-01,111454,123755,1,132,1,0.5,0.5,0
3,2024-01-01,123755,111454,0,-132,1,0.25,0.75,-0.5
4,2024-01-01,210506,106043,1,-17,1,0.5,0.5,0
4,2024-01-01,106043,210506,0,17,1,0.25,0.75,-0.5
5,2024-01-01,106233,206748,1,-37,1,0.5,0.5,0
5,2024-01-01,206748,106233,0,37,1,0.25,0.75,-0.5
6,2024-01-01,127760,202195,1,44,1,0.5,0.5,0
6,2024-01-01,202195,127760,0,-44,1,0.25,0.75,-0.5
7,2024-01-01,207830,134329,1,-283,1,0.833333333333333,0.5,0.333333333333333
7,2024-01-01,134329,207830,0,283,1,0.25,0.875,-0.625
8,2024-01-01,206499,105943,1,-87,1,0.166666666666667,0.5,-0.333333333333333
8,2024-01-01,105943,206499,0,87,1,0.25,0.375,-0.125
9,2024-01-01,106296,208013,1,-172,1,0.166666666666667,0.5,-0.333333333333333
9,2024-01-01,208013,106296,0,172,1,0.25,0.375,-0.125
10,2024-01-01,105902,210340,1,-161,1,0.833333333333333,0.5,0.333333333333333
10,2024-01-01,210340,105902,0,161,1,0.25,0.875,-0.625
11,2024-01-01,123755,105723,1,-1278,1,0.166666666666667,0.5,-0.333333333333333
11,2024-01-01,105723,123755,0,1278,1,0.25,0.375,-0.125
12,2024-01-01,111454,207681,1,101,1,0.833333333333333,0.5,0.333333333333333
12,2024-01-01,207681,111454,0,-101,1,0.25,0.875,-0.625
13,2024-01-01,210506,105561,1,-106,1,0.833333333333333,0.5,0.333333333333333
13,2024-01-01,105561,210506,0,106,1,0.25,0.875,-0.625
14,2024-01-01,106043,210553,1,-544,1,0.166666666666667,0.5,-0.333333333333333
14,2024-01-01,210553,106043,0,544,1,0.25,0.375,-0.125
15,2024-01-01,106233,210317,1,-174,1,0.833333333333333,0.5,0.333333333333333
15,2024-01-01,210317,106233,0,174,1,0.25,0.875,-0.625
16,2024-01-01,206748,117357,1,-207,1,0.166666666666667,0.5,-0.333333333333333
16,2024-01-01,117357,206748,0,207,1,0.25,0.375,-0.125
17,2024-01-01,127760,111460,1,70,1,0.833333333333333,0.5,0.333333333333333
17,2024-01-01,111460,127760,0,-70,1,0.25,0.875,-0.625
18,2024-01-01,202195,126106,1,-53,1,0.166666666666667,0.5,-0.333333333333333
